epoch,accuracy,loss,val_accuracy,val_loss
0,0.3728203773498535,1.3280532360076904,0.4265129566192627,1.30563485622406
1,0.6335455179214478,1.0026397705078125,0.6138328313827515,0.9935657978057861
2,0.7893717288970947,0.5973171591758728,0.7089337110519409,0.8135784864425659
3,0.8402988910675049,0.4405045211315155,0.7118155360221863,0.8238813877105713
4,0.8798782229423523,0.3508487045764923,0.7002881765365601,0.8190612196922302
5,0.9047882556915283,0.2809944748878479,0.6916426420211792,0.8997589945793152
6,0.9177968502044678,0.24126969277858734,0.6887608170509338,0.9339993596076965
7,0.9321893453598022,0.20541073381900787,0.6945244669914246,0.9824343919754028
8,0.9415997862815857,0.17456690967082977,0.680115282535553,1.0443356037139893
9,0.9562690258026123,0.14597488939762115,0.6743515729904175,1.08739173412323
10,0.9623581767082214,0.12795834243297577,0.6772334575653076,1.1843537092208862
11,0.9654027223587036,0.11654414981603622,0.6743515729904175,1.2637169361114502
12,0.9712150692939758,0.10553503781557083,0.6628242135047913,1.3011351823806763
13,0.971491813659668,0.10056307911872864,0.6657060384750366,1.3692723512649536
14,0.9723221659660339,0.09334230422973633,0.6743515729904175,1.3681209087371826
15,0.974259614944458,0.08737073093652725,0.6685879230499268,1.4337228536605835
16,0.973429262638092,0.09023825079202652,0.6657060384750366,1.4285506010055542
17,0.9745364189147949,0.07659736275672913,0.6743515729904175,1.4568268060684204
18,0.9753667116165161,0.07593009620904922,0.6685879230499268,1.41887366771698
19,0.977027416229248,0.07041984796524048,0.6772334575653076,1.5620882511138916
20,0.976473867893219,0.07312916964292526,0.6714697480201721,1.560716986656189
21,0.9778577089309692,0.07280377298593521,0.6743515729904175,1.5858839750289917
22,0.9775809645652771,0.06725223362445831,0.6685879230499268,1.6040560007095337
23,0.9773041605949402,0.06419152766466141,0.6685879230499268,1.5699489116668701
24,0.9781345129013062,0.06430675089359283,0.6628242135047913,1.6445226669311523
