epoch,accuracy,loss,val_accuracy,val_loss
0,0.5178824067115784,0.2614859342575073,0.5529375076293945,0.24072515964508057
1,0.5311305522918701,0.2507038116455078,0.5455021262168884,0.24145862460136414
2,0.5332251191139221,0.24932695925235748,0.552204430103302,0.2416006624698639
3,0.5371524095535278,0.24730175733566284,0.5575453042984009,0.23793908953666687
4,0.5332774519920349,0.24736608564853668,0.5490627288818359,0.23882146179676056
5,0.535005509853363,0.2459660917520523,0.5508430004119873,0.2400863915681839
6,0.5355553030967712,0.2458612322807312,0.5570216774940491,0.23919619619846344
7,0.5361313223838806,0.24544452130794525,0.5561838746070862,0.23700785636901855
8,0.5376498699188232,0.24529176950454712,0.5484343767166138,0.2376561313867569
9,0.5398753881454468,0.24320685863494873,0.5460257530212402,0.24123865365982056
10,0.5374928116798401,0.24385203421115875,0.5557649731636047,0.23572057485580444
11,0.5352672934532166,0.24361495673656464,0.5541941523551941,0.2364414930343628
12,0.5371524095535278,0.24206984043121338,0.5369148850440979,0.23698467016220093
13,0.5408703088760376,0.2418026477098465,0.5474919080734253,0.236260786652565
14,0.5392993688583374,0.24213510751724243,0.561001181602478,0.2356301099061966
